Job_Title,Department,Salary
DATA ENTRY OPERATOR,DEPT OF WATER MANAGEMENT,68556
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROGRAM AUDITOR III,DEPT OF HOUSING,119580
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECTS ADMINISTRATOR,DEPARTMENT OF PUBLIC HEALTH,100500
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
DETENTION AIDE,DEPARTMENT OF POLICE,68196
LIEUTENANT,DEPARTMENT OF POLICE,150318
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,118632
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
CAPTAIN-EMT,FIRE DEPARTMENT,147258
SR LABOR RELATIONS SPECIALIST,CITY CLERK,72960
SECURITY SPECIALIST,CITY TREASURER,81552
FINGERPRINT TECHNICIAN II,DEPARTMENT OF POLICE,75168
CLERK IV,DEPT OF WATER MANAGEMENT,78804
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ACCOUNTING TECHNICIAN,DEPT OF WATER MANAGEMENT,90540
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PARAMEDIC I/C,FIRE DEPARTMENT,101052
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC I/C,FIRE DEPARTMENT,101052
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,76122
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,63504
POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,101412
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,55008
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,108444
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PROJECT MANAGER,DEPARTMENT OF PUBLIC HEALTH,96576
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER,DEPARTMENT OF POLICE,104934
EDITORIAL ASST,CITY CLERK,52176
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SECURITY SPECIALIST,CITY TREASURER,81552
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,91872
PAYMENT SERVICES REPRESENTATIVE,DEPARTMENT OF FINANCE,75168
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,63504
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,86016
INVESTIGATOR-COPA,COPA,74712
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
AUDITOR III,DEPARTMENT OF FINANCE,118632
SERGEANT,DEPARTMENT OF POLICE,125634
SUPVSR OF AUDITING,DEPARTMENT OF FINANCE,129144
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SANITARY ENGINEER II,DEPT OF WATER MANAGEMENT,85044
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,69228
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,77112
PSYCHOLOGIST,DEPARTMENT OF PUBLIC HEALTH,129540
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SENIOR ZONING PLAN EXAMINER,DEPARTMENT OF PLANNING AND DEVELOPMENT,67872
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PAYROLL ADMINISTRATOR,PUBLIC SAFETY ADMINISTRATION,98388
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,56664
POLICE OFFICER,DEPARTMENT OF POLICE,84522
ASST DIR,CITY CLERK,104496
POLICE OFFICER,DEPARTMENT OF POLICE,111966
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE OFFICER,DEPARTMENT OF POLICE,84522
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,118632
POLICE OFFICER,DEPARTMENT OF POLICE,108822
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,119436
POLICE OFFICER,DEPARTMENT OF POLICE,88896
FINANCIAL PLANNING ANALYST - EXCLD,DEPT OF HOUSING,89076
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,88896
COMMANDER,DEPARTMENT OF POLICE,175944
FILTRATION ENGINEER II,DEPT OF WATER MANAGEMENT,77052
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT COORD,DEPARTMENT OF PLANNING AND DEVELOPMENT,75996
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,147660
POLICE OFFICER,DEPARTMENT OF POLICE,111966
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,97974
HOUSE DRAIN INSPECTOR,DEPT OF WATER MANAGEMENT,114138
POLICE OFFICER,DEPARTMENT OF POLICE,104934
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,108822
COORDINATING PLANNER,DEPARTMENT OF AVIATION,81552
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PARAMEDIC,FIRE DEPARTMENT,62466
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,79974
PARAMEDIC,FIRE DEPARTMENT,88770
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,61308
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARAMEDIC I/C,FIRE DEPARTMENT,101052
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
POLICE OFFICER,DEPARTMENT OF POLICE,101412
AREA COORD - CAPS,DEPARTMENT OF POLICE,85452
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,36624
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
PROJECTS ADMINISTRATOR,DEPARTMENT OF AVIATION,93744
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,108822
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
ACCIDENT ADJUSTER,DAIS,77964
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
COORD OF STUDIO OPERATIONS,BUS AFFAIRS AND CONSUMER PROT,77892
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,86016
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ENGINEERING TECHNICIAN IV,DEPT OF WATER MANAGEMENT,108996
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CHIEF VOUCHER EXPEDITER,PUBLIC SAFETY ADMINISTRATION,103980
PROJECT COORD,DEPARTMENT OF PUBLIC HEALTH,63780
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
SERGEANT,DEPARTMENT OF POLICE,125634
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,68196
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
ENVIRONMENTAL ENGINEER III,DEPARTMENT OF PUBLIC HEALTH,90984
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT-EMT,FIRE DEPARTMENT,110766
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
AUDITOR II,DEPARTMENT OF FINANCE,74712
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ADMINISTRATIVE ASST III,FIRE DEPARTMENT,61872
POLICE OFFICER,DEPARTMENT OF POLICE,97974
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,85308
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,117690
ADMINISTRATIVE ASST II,BUS AFFAIRS AND CONSUMER PROT,47532
POLICE OFFICER,DEPARTMENT OF POLICE,104934
DISTRICT CLERK,DEPT OF WATER MANAGEMENT,46176
CAPTAIN,DEPARTMENT OF POLICE,163506
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,88896
LEGISLATIVE AIDE,CITY COUNCIL,43272
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,88896
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
HR RECORDS SPECIALIST,DEPARTMENT OF HUMAN RESOURCES,74424
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ADMINISTRATIVE SERVICES OFFICER I,BUS AFFAIRS AND CONSUMER PROT,108996
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LEAD PRESSMAN,DAIS,99360
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
EMERGENCY MANAGEMENT COORD,DEPARTMENT OF AVIATION,68940
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,65388
DIR OF POLICE RECORDS,DEPARTMENT OF POLICE,144216
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
ADMINISTRATIVE ASST II,DEPT OF WATER MANAGEMENT,82500
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
STAFF ASST,FAMILY AND SUPPORT SERVICES,103980
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
LEGISLATIVE AIDE,CITY COUNCIL,90000
ELECTRICAL INSPECTOR,DEPT OF BUILDINGS,110160
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,94368
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARAMEDIC I/C,FIRE DEPARTMENT,101052
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
PARAMEDIC,FIRE DEPARTMENT,80448
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
POLICE OFFICER,DEPARTMENT OF POLICE,108822
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
COMMUNITY ORGANIZER-CAPS,DEPARTMENT OF POLICE,94824
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,68196
AUTO POUND SUPVSR,DEPT STREETS AND SANITATION,112668
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARAMEDIC,FIRE DEPARTMENT,93252
ADMINISTRATIVE ASST III,BUS AFFAIRS AND CONSUMER PROT,64740
DISABILITY OFFICER,DEPARTMENT OF HUMAN RESOURCES,114684
CAPTAIN-EMT,FIRE DEPARTMENT,147258
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
POLICE OFFICER,DEPARTMENT OF POLICE,93264
CITY PLANNER II,DEPARTMENT OF PLANNING AND DEVELOPMENT,90108
STAFF ASST,DEPARTMENT OF AVIATION,62784
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DEPUTY DISTRICT CHIEF,FIRE DEPARTMENT,175464
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
CLINICAL THERAPIST III,DEPARTMENT OF PUBLIC HEALTH,85044
SENIOR AUTOMOTIVE EQUIPMENT ANALYST,DAIS,102576
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,38868
ENVIRONMENTAL ENGINEER II,DAIS,82500
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
SR PROCUREMENT SPECIALIST,DEPARTMENT OF PROCUREMENT SERV,81552
DIR OF NUTRITION,DEPARTMENT OF PUBLIC HEALTH,114684
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,106704
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
PARAMEDIC,FIRE DEPARTMENT,80448
ENGINEERING TECHNICIAN IV,CHICAGO DEPT OF TRANSPORTATION,64740
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,108756
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,78000
FIREFIGHTER-EMT,FIRE DEPARTMENT,114570
PARAMEDIC I/C,FIRE DEPARTMENT,101052
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
SENIOR PERSONNEL ASSISTANT,DEPARTMENT OF LAW,86436
LABOR RELATIONS SPECIALIST,DEPT OF WATER MANAGEMENT,60048
LINEMAN - SALARIED,PUBLIC SAFETY ADMINISTRATION,117624
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
FIREFIGHTER,FIRE DEPARTMENT,108036
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,40716
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARAMEDIC,FIRE DEPARTMENT,93252
PARAMEDIC,FIRE DEPARTMENT,62466
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,97032
SERGEANT,DEPARTMENT OF POLICE,125634
ASST COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION,126156
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONER,58524
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DIR OF ENVIR HEALTH & SAFETY COMPLIANCE,DEPARTMENT OF FINANCE,148296
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,98892
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,33180
PARALEGAL II,COPA,77964
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPERVISING PROCESS SERVER,DEPARTMENT OF LAW,74052
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
PROJECTS ADMINISTRATOR,DEPARTMENT OF AVIATION,90084
POLICE OFFICER,DEPARTMENT OF POLICE,108822
INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION,66804
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FORESTRY SUPVSR,DEPT STREETS AND SANITATION,112668
POLICE OFFICER,DEPARTMENT OF POLICE,79974
MGR OF EMERGENCY MANAGEMENT SERVICES,OFFICE OF EMERGENCY MANAGEMENT,119580
PARAMEDIC I/C,FIRE DEPARTMENT,104430
SUPERVISING INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION,81552
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE OFFICER,DEPARTMENT OF POLICE,108822
HR RECORDS SPECIALIST,DEPARTMENT OF HUMAN RESOURCES,62784
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
PARAMEDIC,FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
INVESTIGATOR I - IG,IG,69564
SUPERVISING INVESTIGATOR-COPA,COPA,123540
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST COMMISSIONER,DEPARTMENT OF PUBLIC HEALTH,114684
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,88896
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,69972
DETENTION AIDE,DEPARTMENT OF POLICE,86016
SERGEANT,DEPARTMENT OF POLICE,125634
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,63504
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,108444
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,44712
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,68556
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,129540
ADMINISTRATIVE ASST III,DAIS,94824
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
ASST TO THE ALDERMAN,CITY COUNCIL,106104
RECOVERY TEAM PROGRAM MGR,BUS AFFAIRS AND CONSUMER PROT,108816
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE,59004
DETENTION AIDE,DEPARTMENT OF POLICE,86016
ASST CORPORATION COUNSEL SENIOR,DEPARTMENT OF LAW,140976
PARALEGAL II,DEPARTMENT OF LAW,99360
POLICE OFFICER,DEPARTMENT OF POLICE,97974
COMMANDER,DEPARTMENT OF POLICE,175944
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE,59004
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,57636
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,98496
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,129528
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSGN AS HELICOPTER PILOT),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ASSOCIATE FIRE PREVENTION ENGINEER,FIRE DEPARTMENT,75852
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
SERGEANT,DEPARTMENT OF POLICE,129666
SUPVR OF POLLING-ELECTIONS,BOARD OF ELECTION COMMISSIONER,75924
ASST PAYROLL ADMINISTRATOR,PUBLIC SAFETY ADMINISTRATION,85572
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SENIOR RISK ANALYST,DEPARTMENT OF FINANCE,108864
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
CAPTAIN-EMT,FIRE DEPARTMENT,147258
LIEUTENANT,DEPARTMENT OF POLICE,150318
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,79974
SERGEANT,DEPARTMENT OF POLICE,129666
INVESTIGATOR,FIRE DEPARTMENT,63780
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT,DEPARTMENT OF POLICE,150318
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
INVESTIGATOR-COPA,COPA,74712
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,56328
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,77052
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,61572
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,121806
